study_id,practice,is_open,category,location,source_pdf,page,text_id,evidence_text,on_request,extract_confidence
lungtime,registration,FALSE,unknown,NA,s41591-025-04181-w.pdf,1,1,ClinicalTrials.gov registration: NCT05549037 .,FALSE,low
lungtime,data,FALSE,unknown,NA,s41591-025-04181-w.pdf,3,3,There were no statistically significant differences found in the incidence of immune-related adverse events between the two groups (Extended Data Table 3).,FALSE,low
lungtime,data,TRUE,supplementary,https://doi.org/10.1038/s41591-025-04181-w,s41591-025-04181-w.pdf,7,7,"Online content Any methods, additional references, Nature Portfolio reporting summaries, source data, extended data, supplementary information, acknowledgements, peer review information, details of author contributions and competing interests; and statements of data and code availability are available at https://doi.org/10.1038/s41591-025-04181-w.",FALSE,medium
lungtime,registration,TRUE,website,https://clinicaltrials.gov/search?cond=Lung%20,s41591-025-04181-w.pdf,9,9,"The trial was registered on ClinicalTrials.gov on 22 September 2022 (NCT05549037, https://clinicaltrials.gov/search?cond=Lung%20 Cancer&term=NCT05549037) and conducted at Hunan Cancer Hospital.",FALSE,medium
lungtime,materials,TRUE,supplementary,NA,s41591-025-04181-w.pdf,9,9,The full study protocol is provided in the Supplementary Note.,FALSE,low
lungtime,materials,TRUE,supplementary,NA,s41591-025-04181-w.pdf,9,9,Complete eligibility criteria are listed in the protocol (see Supplementary Note for full study protocol).,FALSE,low
lungtime,materials,TRUE,supplementary,NA,s41591-025-04181-w.pdf,9,9,"The 15:00 h cutoff time defining early and late T oD treatment groups was determined from a preliminary retrospective analysis of 447 patients at Hunan Cancer Hospital (2017-2021), which identified this time point as yielding the lowest HR for PFS among various candidate cutoff times (see Supplementary Note for full study protocol)25.",FALSE,low
lungtime,data,FALSE,unknown,NA,s41591-025-04181-w.pdf,9,9,Results were available for 93.33% (196/210) of patients; data for some patients were missing due to insufficient tissue samples.,FALSE,low
lungtime,data,FALSE,unknown,NA,s41591-025-04181-w.pdf,10,10,"Data availability Due to concerns regarding patient privacy and institutional data governance, the clinical datasets generated or used in this study are not publicly accessible.",FALSE,low
lungtime,data,FALSE,upon request,NA,s41591-025-04181-w.pdf,10,10,"T o protect the confidentiality of patients, de-identified individual-level data may be made available upon reasonable request.",TRUE,medium
lungtime,data,FALSE,unknown,NA,s41591-025-04181-w.pdf,10,10,Researchers interested in accessing the data should contact Y .Z.,FALSE,low
lungtime,data,FALSE,unknown,NA,s41591-025-04181-w.pdf,10,10,Each request will undergo evaluation by the data oversight committee of Hunan Cancer Hospital to assess compliance with confidentiality policies and potential intellectual property constraints.,FALSE,low
lungtime,data,TRUE,website,https://doi.org/10.1038/s41591-025-04181-w,s41591-025-04181-w.pdf,10,10,Additional information Extended data is available for this paper at https://doi.org/10.1038/s41591-025-04181-w.,FALSE,medium
lungtime,materials,TRUE,supplementary,https://doi.org/10.1038/s41591-025-04181-w,s41591-025-04181-w.pdf,10,10,Supplementary information The online version contains supplementary material available at https://doi.org/10.1038/s41591-025-04181-w.,FALSE,medium
